p,n,prime_count,duration_ns
1,136,32,65921
1,137,33,65392
1,138,33,62833
1,139,34,66406
1,140,34,60101
1,141,34,64159
1,142,34,62272
1,143,34,60048
1,144,34,59792
1,145,34,64735
1,146,34,62206
1,147,34,58734
1,148,34,59823
1,149,35,62848
1,150,35,63976
1,151,36,73249
1,152,36,63922
1,153,36,65114
1,154,36,66149
1,155,36,65092
1,156,36,73159
1,157,37,69118
1,158,37,71458
1,159,37,76120
1,160,37,72842
1,161,37,62028
1,162,37,62920
1,163,38,65116
1,164,38,81356
1,165,38,87411
1,166,38,61102
1,167,39,62544
1,168,39,69570
1,169,39,63861
1,170,39,62312
1,171,39,60465
1,172,39,59691
1,173,40,66657
1,174,40,62883
1,175,40,66529
1,176,40,62533
1,177,40,57590
1,178,40,66153
1,179,41,66554
1,180,41,62641
1,181,42,67110
1,182,42,58497
1,183,42,64175
1,184,42,62385
1,185,42,63302
1,186,42,63423
1,187,42,57585
1,188,42,55731
1,189,42,63027
1,190,42,59106
1,191,43,55646
1,192,43,63962
1,193,44,59447
1,194,44,64541
1,195,44,65093
1,196,44,69954
1,197,45,62743
1,198,45,68179
1,199,46,58930
1,200,46,62009
1,201,46,64069
1,202,46,57821
1,203,46,68411
1,204,46,66085
1,205,46,63555
1,206,46,69593
1,207,46,64253
1,208,46,61078
1,209,46,67127
1,210,46,69276
1,211,47,65052
1,212,47,67318
1,213,47,62916
1,214,47,63665
1,215,47,69557
1,216,47,65696
1,217,47,65712
1,218,47,61145
1,219,47,65706
1,220,47,64024
1,221,47,62762
1,222,47,61896
1,223,48,64130
1,224,48,62719
1,225,48,63098
1,226,48,61119
1,227,49,60231
1,228,49,65554
1,229,50,62684
1,230,50,64124
1,231,50,63012
1,232,50,60662
1,233,51,67030
1,234,51,69472
1,235,51,64110
1,236,51,64409
1,237,51,62706
1,238,51,66406
1,239,52,65659
1,240,52,64085
1,241,53,65294
1,242,53,63437
1,243,53,57787
1,244,53,67670
1,245,53,63649
1,246,53,65266
1,247,53,58087
1,248,53,65029
1,249,53,61544
1,250,53,60528
1,251,54,63972
1,252,54,67642
1,253,54,60860
1,254,54,65815
1,255,54,63774
1,256,54,61190
1,257,55,63728
1,258,55,70740
1,259,55,60423
1,260,55,63863
1,261,55,64420
1,262,55,62438
1,263,56,61717
1,264,56,60975
1,265,56,56971
1,266,56,61294
1,267,56,59248
1,268,56,61584
1,269,57,70412
1,270,57,63429
1,271,58,60493
1,272,58,66310
1,273,58,63900
1,274,58,64195
1,275,58,61573
1,276,58,61194
1,277,59,67024
1,278,59,63900
1,279,59,62417
1,280,59,61945
1,281,60,63428
1,282,60,61688
1,283,61,62524
1,284,61,59148
1,285,61,61177
1,286,61,65702
1,287,61,67459
1,288,61,62381
1,289,61,61097
1,290,61,68126
1,291,61,65399
1,292,61,63724
1,293,62,63702
1,294,62,61032
1,295,62,65612
1,296,62,59247
1,297,62,62478
1,298,62,62149
1,299,62,60440
1,300,62,63071
1,301,62,65793
1,302,62,62483
1,303,62,59052
1,304,62,63701
1,305,62,64060
1,306,62,64825
1,307,63,67028
1,308,63,65342
1,309,63,70471
1,310,63,65920
1,311,64,74177
1,312,64,75077
1,313,65,66669
1,314,65,69988
1,315,65,68537
1,316,65,65877
1,317,66,62118
1,318,66,63614
1,319,66,63022
1,320,66,62181
1,321,66,64451
1,322,66,62981
1,323,66,61905
1,324,66,62439
1,325,66,62974
1,326,66,61523
1,327,66,61071
1,328,66,65128
1,329,66,63487
1,330,66,64332
1,331,67,62474
1,332,67,67156
1,333,67,70573
1,334,67,66852
1,335,67,68514
1,336,67,66264
1,337,68,66024
1,338,68,57979
1,339,68,64211
1,340,68,58200
1,341,68,65342
1,342,68,65827
1,343,68,60776
1,344,68,60375
1,345,68,60276
1,346,68,62709
1,347,69,59162
1,348,69,63369
1,349,70,65888
1,350,70,56739
1,351,70,61713
1,352,70,62192
1,353,71,64854
1,354,71,61276
1,355,71,58696
1,356,71,60221
1,357,71,66901
1,358,71,62935
1,359,72,64867
1,360,72,63573
1,361,72,66024
1,362,72,64073
1,363,72,58758
1,364,72,62288
1,365,72,66531
1,366,72,64353
1,367,73,66420
1,368,73,59699
1,369,73,64878
1,370,73,64315
1,371,73,60462
1,372,73,62290
1,373,74,63171
1,374,74,60711
1,375,74,60568
1,376,74,62132
1,377,74,64308
1,378,74,62680
1,379,75,66374
1,380,75,61252
1,381,75,65062
1,382,75,65809
1,383,76,62730
1,384,76,57440
1,385,76,69899
1,386,76,59018
1,387,76,64664
1,388,76,67145
1,389,77,61377
1,390,77,62783
1,391,77,65883
1,392,77,67233
1,393,77,61915
1,394,77,63132
1,395,77,64815
1,396,77,66181
1,397,78,61280
1,398,78,60865
1,399,78,69232
1,400,78,63373
1,401,79,67844
1,402,79,64087
1,403,79,62812
1,404,79,58049
1,405,79,61429
1,406,79,59751
1,407,79,61653
1,408,79,62128
1,409,80,64895
1,410,80,63417
1,411,80,62407
1,412,80,63051
1,413,80,65572
1,414,80,67328
1,415,80,62976
1,416,80,64402
1,417,80,60692
1,418,80,60350
1,419,81,61734
1,420,81,57586
1,421,82,57409
1,422,82,61928
1,423,82,60549
1,424,82,59501
1,425,82,65961
1,426,82,60737
1,427,82,65756
1,428,82,62604
1,429,82,67627
1,430,82,64785
1,431,83,66532
1,432,83,64895
1,433,84,62670
1,434,84,60278
1,435,84,63616
1,436,84,64237
1,437,84,60166
1,438,84,60561
1,439,85,62079
1,440,85,57815
1,441,85,62142
1,442,85,64478
1,443,86,63417
1,444,86,63077
1,445,86,61288
1,446,86,61476
1,447,86,62009
1,448,86,61088
1,449,87,60039
1,450,87,64551
1,451,87,63567
1,452,87,64350
1,453,87,64156
1,454,87,58327
1,455,87,65535
1,456,87,62443
1,457,88,60459
1,458,88,62544
1,459,88,61987
1,460,88,67833
1,461,89,60933
1,462,89,61836
1,463,90,61012
1,464,90,60641
1,465,90,64627
1,466,90,68509
1,467,91,61476
1,468,91,63428
1,469,91,58384
1,470,91,61876
1,471,91,59645
1,472,91,60296
1,473,91,63906
1,474,91,57297
1,475,91,62476
1,476,91,64688
1,477,91,56690
1,478,91,61989
1,479,92,60233
1,480,92,57892
1,481,92,62214
1,482,92,63203
1,483,92,58709
1,484,92,56613
1,485,92,62437
1,486,92,59221
1,487,93,61299
1,488,93,62504
1,489,93,65965
1,490,93,62611
1,491,94,65057
1,492,94,62309
1,493,94,63364
1,494,94,65125
1,495,94,64174
1,496,94,68947
1,497,94,66332
1,498,94,65615
1,499,95,57582
1,500,95,67161
1,501,95,64712
1,502,95,67304
1,503,96,65337
1,504,96,63224
1,505,96,66444
1,506,96,58353
1,507,96,60574
1,508,96,64525
1,509,97,64421
1,510,97,68631
1,511,97,58795
1,512,97,61102
1,513,97,61212
1,514,97,61707
1,515,97,64423
1,516,97,61470
1,517,97,62383
1,518,97,64415
1,519,97,59161
1,520,97,64416
1,521,98,60304
1,522,98,63923
1,523,99,59986
1,524,99,59389
1,525,99,64976
1,526,99,59310
1,527,99,62733
1,528,99,61509
1,529,99,62930
1,530,99,59631
1,531,99,60605
1,532,99,60992
1,533,99,62684
1,534,99,65428
1,535,99,65695
1,536,99,64339
1,537,99,60111
1,538,99,63193
1,539,99,65029
1,540,99,62023
1,541,100,62558
1,542,100,61073
1,543,100,63814
1,544,100,59015
1,545,100,64193
1,546,100,61258
1,547,101,62808
1,548,101,60049
1,549,101,68041
1,550,101,61175
1,551,101,59041
1,552,101,65280
1,553,101,57544
1,554,101,61883
1,555,101,65052
1,556,101,62752
1,557,102,63514
1,558,102,61931
1,559,102,64073
1,560,102,64504
1,561,102,64237
1,562,102,64508
1,563,103,60468
1,564,103,60818
1,565,103,63959
1,566,103,134283
1,567,103,59328
1,568,103,60931
1,569,104,66334
1,570,104,63535
1,571,105,59100
1,572,105,74279
1,573,105,63288
1,574,105,64470
1,575,105,64094
1,576,105,62179
1,577,106,66690
1,578,106,62988
1,579,106,61835
1,580,106,65577
1,581,106,65369
1,582,106,60447
1,583,106,69470
1,584,106,65209
1,585,106,65406
1,586,106,65183
1,587,107,66594
1,588,107,63069
1,589,107,65267
1,590,107,58096
1,591,107,63668
1,592,107,65636
1,593,108,67965
1,594,108,62236
1,595,108,62157
1,596,108,63146
1,597,108,76579
