p,n,prime_count,duration_ns
1,252,54,64399
1,253,54,60528
1,254,54,60746
1,255,54,59949
1,256,54,58231
1,257,55,62741
1,258,55,62902
1,259,55,60249
1,260,55,59197
1,261,55,58697
1,262,55,62358
1,263,56,57280
1,264,56,63387
1,265,56,59999
1,266,56,59448
1,267,56,63172
1,268,56,62411
1,269,57,58399
1,270,57,55615
1,271,58,63233
1,272,58,58639
1,273,58,57786
1,274,58,59797
1,275,58,63602
1,276,58,62327
1,277,59,60053
1,278,59,61578
1,279,59,63825
1,280,59,62282
1,281,60,60925
1,282,60,61408
1,283,61,61031
1,284,61,59241
1,285,61,59972
1,286,61,61205
1,287,61,60305
1,288,61,63590
1,289,61,60129
1,290,61,60523
1,291,61,66819
1,292,61,62825
1,293,62,63816
1,294,62,65893
1,295,62,80465
1,296,62,61464
1,297,62,57305
1,298,62,63433
1,299,62,58043
1,300,62,57701
1,301,62,62361
1,302,62,62358
1,303,62,57688
1,304,62,61342
1,305,62,63892
1,306,62,65425
1,307,63,59267
1,308,63,57667
1,309,63,85724
1,310,63,62243
1,311,64,67604
1,312,64,67766
1,313,65,61731
1,314,65,64139
1,315,65,62493
1,316,65,61505
1,317,66,64451
1,318,66,57289
1,319,66,62667
1,320,66,61802
1,321,66,62615
1,322,66,62497
1,323,66,59231
1,324,66,69723
1,325,66,61123
1,326,66,63718
1,327,66,60608
1,328,66,61106
1,329,66,63107
1,330,66,63245
1,331,67,66918
1,332,67,58165
1,333,67,59687
1,334,67,61294
1,335,67,60132
1,336,67,59063
1,337,68,60906
1,338,68,61665
1,339,68,64005
1,340,68,60551
1,341,68,65175
1,342,68,62661
1,343,68,61104
1,344,68,56909
1,345,68,64444
1,346,68,55960
1,347,69,54119
1,348,69,67350
1,349,70,55661
1,350,70,61535
1,351,70,65898
1,352,70,60321
1,353,71,65970
1,354,71,69998
1,355,71,103457
1,356,71,64755
1,357,71,59175
1,358,71,59914
1,359,72,60768
1,360,72,59728
1,361,72,61963
1,362,72,65684
1,363,72,57344
1,364,72,62068
1,365,72,61763
1,366,72,64720
1,367,73,70799
1,368,73,65513
1,369,73,66859
1,370,73,62057
1,371,73,57619
1,372,73,61610
1,373,74,62251
1,374,74,62580
1,375,74,62201
1,376,74,60785
1,377,74,58644
1,378,74,62351
1,379,75,58983
1,380,75,57450
1,381,75,67732
1,382,75,65512
1,383,76,66164
1,384,76,69426
1,385,76,70714
1,386,76,70979
1,387,76,65340
1,388,76,58680
1,389,77,54980
1,390,77,59085
1,391,77,64083
1,392,77,59171
1,393,77,58170
1,394,77,62285
1,395,77,58534
1,396,77,66414
1,397,78,60958
1,398,78,67686
1,399,78,61177
1,400,78,59110
1,401,79,60808
1,402,79,62105
1,403,79,54545
1,404,79,63629
1,405,79,63599
1,406,79,57166
1,407,79,59499
1,408,79,58129
1,409,80,60074
1,410,80,58032
1,411,80,66586
1,412,80,59752
1,413,80,64477
1,414,80,64200
1,415,80,60150
1,416,80,59425
1,417,80,58843
1,418,80,59148
1,419,81,60078
1,420,81,61693
1,421,82,63366
1,422,82,59753
1,423,82,59352
1,424,82,59732
1,425,82,65099
1,426,82,62734
1,427,82,64622
1,428,82,60522
1,429,82,58520
1,430,82,62040
1,431,83,61941
1,432,83,55138
1,433,84,54780
1,434,84,55419
1,435,84,57144
1,436,84,61102
1,437,84,61539
1,438,84,58430
1,439,85,61100
1,440,85,62779
1,441,85,59812
1,442,85,64822
1,443,86,62454
1,444,86,58728
1,445,86,57993
1,446,86,63049
1,447,86,57634
1,448,86,61603
1,449,87,61960
1,450,87,63205
1,451,87,62674
1,452,87,60670
1,453,87,63802
1,454,87,60384
1,455,87,58950
1,456,87,68145
1,457,88,61154
1,458,88,66724
1,459,88,58191
1,460,88,58654
1,461,89,62554
1,462,89,62164
1,463,90,60463
1,464,90,63235
1,465,90,64879
1,466,90,64849
1,467,91,58350
1,468,91,63436
1,469,91,61912
1,470,91,64496
1,471,91,62570
1,472,91,64748
1,473,91,57841
1,474,91,57759
1,475,91,63281
1,476,91,61554
1,477,91,65223
1,478,91,59044
1,479,92,60814
1,480,92,61191
1,481,92,61578
1,482,92,58586
1,483,92,57067
1,484,92,57468
1,485,92,70301
1,486,92,64385
1,487,93,65412
1,488,93,58060
1,489,93,70929
1,490,93,66400
1,491,94,69628
1,492,94,70161
1,493,94,65730
1,494,94,66424
1,495,94,69433
1,496,94,63634
1,497,94,65220
1,498,94,64822
1,499,95,61385
1,500,95,58290
1,501,95,64990
1,502,95,66242
1,503,96,68285
1,504,96,60365
1,505,96,62704
1,506,96,60078
1,507,96,65200
1,508,96,63674
1,509,97,63833
1,510,97,64715
1,511,97,66155
1,512,97,62847
1,513,97,68648
1,514,97,68361
1,515,97,65745
1,516,97,67636
1,517,97,63835
1,518,97,63558
1,519,97,62005
1,520,97,57344
1,521,98,63081
1,522,98,61812
1,523,99,62854
1,524,99,62718
1,525,99,63020
1,526,99,62522
1,527,99,60904
1,528,99,73840
1,529,99,65828
1,530,99,64809
1,531,99,69050
1,532,99,62215
1,533,99,65064
1,534,99,62843
1,535,99,66351
1,536,99,64669
1,537,99,62123
1,538,99,60575
1,539,99,67113
1,540,99,72749
1,541,100,67169
1,542,100,64274
1,543,100,63503
1,544,100,65486
1,545,100,63916
1,546,100,65028
1,547,101,63686
1,548,101,64507
1,549,101,65683
1,550,101,64930
1,551,101,61043
1,552,101,64802
1,553,101,64862
1,554,101,66004
1,555,101,60628
1,556,101,60933
1,557,102,68654
1,558,102,79823
1,559,102,69633
1,560,102,64206
1,561,102,64237
1,562,102,65101
1,563,103,64447
1,564,103,59466
1,565,103,61964
1,566,103,62254
1,567,103,65395
1,568,103,58667
1,569,104,64997
1,570,104,62326
1,571,105,62096
1,572,105,67160
1,573,105,64440
1,574,105,64271
1,575,105,60295
1,576,105,64132
1,577,106,64208
1,578,106,64871
1,579,106,63272
1,580,106,64442
1,581,106,64967
1,582,106,61339
1,583,106,66110
